Date,AMZN_prices_prices,TSLA_prices_prices,META_prices_prices,AAPL_prices_prices,JNJ_prices_prices,V_prices_prices,PG_prices_prices,JPM_prices_prices,MSFT_prices_prices,GOOGL_prices_prices
2023-02-01,105.1500015258789,181.41000366210935,153.1199951171875,144.6216278076172,160.06288146972656,229.08084106445312,139.63931274414062,135.71388244628906,250.52859497070312,100.43000030517578
2023-02-02,112.91000366210938,188.2700042724609,188.7700042724609,149.98167419433594,160.6645965576172,227.75140380859372,138.64459228515625,135.08192443847656,262.2744445800781,107.73999786376952
2023-02-03,103.38999938964844,189.97999572753903,186.52999877929688,153.64120483398438,159.7620086669922,228.31690979003903,139.07369995117188,137.17222595214844,256.0793762207031,104.77999877929688
2023-02-06,102.18000030517578,194.75999450683597,186.05999755859372,150.88662719726562,158.548828125,227.63235473632807,137.89369201660156,137.9791717529297,254.51324462890625,102.9000015258789
2023-02-07,102.11000061035156,196.80999755859372,191.6199951171875,153.79037475585938,158.58763122558594,229.4975433349609,136.54791259765625,139.6611328125,265.2084350585937,107.63999938964844
2023-02-08,100.0500030517578,201.2899932861328,183.42999267578125,151.0755615234375,158.7914581298828,228.3863677978516,135.13388061523438,138.67919921875,264.3857116699219,99.37000274658205
2023-02-09,98.23999786376952,207.32000732421875,177.9199981689453,150.03138732910156,156.6465301513672,227.98873901367188,133.6515655517578,136.52084350585938,261.3030090332031,95.01000213623048
2023-02-10,97.61000061035156,196.88999938964844,174.14999389648438,150.39988708496094,157.3744354248047,225.8514862060547,134.83155822753906,137.1236114501953,260.7876281738281,94.56999969482422
2023-02-13,99.54000091552734,194.63999938964844,179.42999267578125,153.2284393310547,157.95677185058594,227.52151489257807,136.5966796875,138.61114501953125,268.9353942871094,94.61000061035156
2023-02-14,99.6999969482422,209.25,179.47999572753906,152.5810546875,157.26768493652344,228.0284881591797,135.82626342773438,139.2236328125,269.7779235839844,94.68000030517578
2023-02-15,101.16000366210938,214.2400054931641,177.16000366210938,154.70245361328125,154.6763153076172,227.56126403808597,135.5142059326172,139.80697631835938,267.6216125488281,96.94000244140624
2023-02-16,98.1500015258789,202.0399932861328,172.44000244140625,153.08900451660156,153.5796356201172,224.48960876464844,133.73931884765625,137.8819580078125,260.4967956542969,95.51000213623048
2023-02-17,97.1999969482422,208.30999755859372,172.8800048828125,151.93368530273438,156.78590393066406,222.23309326171875,136.5381622314453,138.29029846191406,256.4325866699219,94.3499984741211
2023-02-21,94.58000183105467,197.3699951171875,172.0800018310547,147.880126953125,154.4496307373047,219.3105316162109,136.44064331054688,135.75277709960938,251.0765838623047,91.79000091552734
2023-02-22,95.79000091552734,200.8600006103516,171.1199951171875,148.3083953857422,154.23455810546875,218.714111328125,137.01600646972656,134.7124786376953,249.9239044189453,91.6500015258789
2023-02-23,95.81999969482422,202.07000732421875,172.0399932861328,148.79640197753906,154.1856689453125,219.81753540039065,136.57716369628906,135.79165649414062,253.1633453369141,90.88999938964844
2023-02-24,93.5,196.8800048828125,170.38999938964844,146.11727905273438,152.46522521972656,218.2469024658203,135.80674743652344,137.01666259765625,247.6483459472656,89.12999725341797
2023-02-27,93.76000213623048,207.6300048828125,169.5399932861328,147.3223876953125,152.1328582763672,219.04214477539065,135.6897430419922,138.2125244140625,248.5824279785156,89.87000274658203
2023-02-28,94.2300033569336,205.7100067138672,174.94000244140625,146.814453125,149.8161163330078,218.6345977783203,134.14891052246094,139.36947631835938,247.8470764160156,90.05999755859375
2023-03-01,92.16999816894533,202.7700042724609,173.4199981689453,144.72293090820312,149.14163208007812,217.0639495849609,134.24642944335938,138.59169006347656,244.71694946289065,90.36000061035156
2023-03-02,92.12999725341795,190.8999938964844,174.52999877929688,145.3205108642578,149.02432250976562,217.75979614257807,136.46014404296875,137.15280151367188,249.52642822265625,92.0
2023-03-03,94.9000015258789,197.7899932861328,185.25,150.41983032226562,150.55905151367188,222.4418487548828,137.45486450195312,139.6708526611328,253.68006896972656,93.6500015258789
2023-03-06,93.75,193.80999755859372,184.8999938964844,153.20851135253906,152.06443786621094,225.40414428710935,136.8697509765625,138.8542022705078,255.25010681152344,95.12999725341795
2023-03-07,93.5500030517578,187.7100067138672,184.50999450683597,150.98753356933594,150.62745666503906,221.8454132080078,134.14891052246094,134.77081298828125,252.5472412109375,93.86000061035156
2023-03-08,93.91999816894533,182.0,184.97000122070312,152.2523956298828,149.52288818359375,220.8712310791016,134.1684112548828,133.9735870361328,252.1000823974609,94.25
2023-03-09,92.25,172.9199981689453,181.69000244140625,149.98159790039062,147.84152221679688,218.70416259765625,133.1834716796875,126.72073364257812,250.7288055419922,92.31999969482422
2023-03-10,90.7300033569336,173.44000244140625,179.50999450683594,147.90003967285156,148.20318603515625,214.8571319580078,133.7880859375,129.93882751464844,247.02230834960935,90.62999725341795
2023-03-13,92.43000030517578,174.47999572753906,180.8999938964844,149.86209106445312,149.62062072753906,213.19705200195312,134.7145233154297,127.60548400878906,252.31871032714844,91.11000061035156
2023-03-14,94.87999725341795,183.25999450683597,194.0200042724609,151.97352600097656,150.4613037109375,217.3621826171875,136.38214111328125,130.88189697265625,259.1453857421875,93.97000122070312
2023-03-15,96.1999969482422,180.4499969482422,197.75,152.37191772460938,150.8816375732422,215.0857696533203,138.3130340576172,124.698486328125,263.7660522460937,96.11000061035156
2023-03-16,100.04000091552734,184.1300048828125,204.92999267578125,155.22035217285156,150.56881713867188,216.15936279296875,139.3467559814453,127.11935424804688,274.4582214355469,100.31999969482422
2023-03-17,98.9499969482422,180.1300048828125,195.6100006103516,154.373779296875,148.95590209960938,216.09971618652344,139.38575744628906,122.31652069091795,277.6678466796875,101.62000274658205
2023-03-20,97.70999908447266,183.25,197.80999755859372,156.7640838623047,150.4319610595703,216.85520935058597,141.5312042236328,123.60958862304688,270.51324462890625,101.22000122070312
2023-03-21,100.61000061035156,197.5800018310547,202.16000366210935,158.636474609375,150.4319610595703,220.6326446533203,140.50723266601562,126.92491912841795,272.0534362792969,104.91999816894533
2023-03-22,98.6999969482422,191.1499938964844,199.80999755859372,157.19235229492188,147.65579223632812,218.7339782714844,140.4194793701172,123.6484832763672,270.5728759765625,103.37000274658205
2023-03-23,98.70999908447266,192.22000122070312,204.27999877929688,158.2878875732422,147.73397827148438,221.26885986328125,140.22442626953125,123.31792449951172,275.90899658203125,105.5999984741211
2023-03-24,98.12999725341795,190.41000366210935,206.00999450683597,159.6025848388672,149.21983337402344,219.72804260253903,143.081787109375,121.44152069091795,278.8006591796875,105.44000244140624
2023-03-27,98.04000091552734,191.80999755859372,202.83999633789065,157.64053344726562,149.855224609375,220.49346923828125,142.33087158203125,124.92211151123048,274.6370849609375,102.45999908447266
2023-03-28,97.23999786376952,189.19000244140625,200.67999267578125,157.0130615234375,148.4084930419922,219.0222625732422,142.73069763183594,125.30128479003906,273.4943542480469,101.02999877929688
